ID,Mensagem,Classe,promocao,desconto,gratis,premio,oferta,ganhe,urgente,reuniao,projeto,relatorio,equipe,cliente,prazo,agenda,documento,acesso,conta
101,gratis premio documento,Spam,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
102,promocao promocao gratis gratis premio ganhe ganhe ganhe urgente urgente relatorio relatorio acesso,Spam,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0
103,promocao desconto desconto gratis gratis premio ganhe ganhe ganhe ganhe cliente agenda,Spam,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
104,promocao promocao promocao gratis,Spam,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,premio oferta oferta prazo acesso,Spam,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
106,desconto desconto gratis gratis premio oferta ganhe urgente documento acesso,Spam,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0
107,desconto desconto desconto premio oferta oferta agenda documento acesso,Spam,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
108,promocao promocao desconto desconto gratis gratis oferta ganhe ganhe ganhe ganhe equipe acesso acesso conta,Spam,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1
109,promocao desconto oferta,Spam,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,oferta cliente prazo prazo acesso,Spam,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
111,promocao desconto oferta projeto relatorio prazo acesso acesso,Spam,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
112,promocao promocao promocao promocao desconto desconto desconto desconto gratis gratis gratis gratis urgente urgente cliente,Spam,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
113,promocao desconto gratis gratis gratis gratis oferta oferta ganhe ganhe conta,Spam,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
114,promocao oferta oferta oferta ganhe ganhe ganhe urgente urgente,Spam,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
115,promocao gratis gratis agenda agenda,Spam,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
116,promocao promocao promocao promocao desconto desconto oferta oferta projeto documento documento,Spam,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
117,promocao oferta oferta oferta equipe cliente agenda documento documento conta conta,Spam,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1
118,promocao desconto desconto oferta urgente,Spam,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
119,desconto desconto gratis gratis gratis gratis oferta oferta urgente,Spam,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
120,promocao gratis gratis gratis premio oferta ganhe ganhe ganhe urgente urgente reuniao,Spam,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
121,promocao promocao promocao promocao desconto desconto desconto desconto gratis gratis gratis oferta oferta urgente documento documento conta,Spam,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1
122,gratis gratis premio oferta,Spam,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
123,promocao promocao promocao gratis gratis ganhe ganhe ganhe ganhe urgente reuniao cliente agenda,Spam,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0
124,promocao promocao desconto desconto ganhe ganhe ganhe equipe equipe prazo agenda,Spam,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
125,promocao desconto desconto oferta oferta oferta oferta equipe acesso acesso,Spam,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
126,oferta oferta ganhe urgente,Spam,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
127,promocao promocao premio oferta oferta urgente urgente cliente conta,Spam,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1
128,promocao desconto desconto desconto ganhe ganhe ganhe ganhe urgente urgente documento conta conta,Spam,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
129,urgente cliente documento,Spam,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
130,promocao promocao desconto oferta oferta ganhe ganhe reuniao cliente cliente,Spam,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
131,desconto desconto desconto gratis gratis ganhe reuniao relatorio,Spam,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
132,promocao promocao promocao desconto desconto acesso,Spam,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
133,promocao promocao premio urgente urgente equipe prazo documento documento,Spam,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
134,promocao desconto desconto desconto premio,Spam,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
135,promocao promocao gratis gratis oferta oferta oferta reuniao prazo,Spam,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
136,,Spam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,desconto desconto gratis gratis gratis oferta urgente documento,Spam,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
138,promocao promocao promocao gratis oferta ganhe ganhe ganhe ganhe agenda documento,Spam,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
139,promocao promocao desconto desconto desconto gratis oferta oferta reuniao acesso,Spam,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
140,promocao promocao promocao promocao desconto desconto gratis gratis gratis gratis premio,Spam,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
141,promocao gratis urgente,Spam,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
142,promocao oferta oferta projeto,Spam,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
143,promocao desconto oferta reuniao prazo acesso conta,Spam,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1
144,promocao desconto desconto desconto oferta oferta oferta oferta acesso,Spam,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
145,gratis gratis documento documento,Spam,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
146,promocao gratis gratis oferta oferta oferta projeto relatorio documento conta,Spam,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1
147,promocao promocao desconto desconto desconto premio premio ganhe ganhe relatorio,Spam,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
148,desconto desconto gratis gratis gratis premio oferta ganhe equipe cliente cliente documento,Spam,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0
149,promocao desconto gratis gratis gratis gratis conta,Spam,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
150,promocao desconto desconto desconto gratis gratis oferta oferta urgente urgente reuniao prazo,Spam,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0
151,reuniao projeto projeto equipe prazo prazo documento acesso,Trabalho,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0
152,reuniao projeto projeto cliente documento documento,Trabalho,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
153,promocao promocao urgente relatorio,Trabalho,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
154,urgente reuniao projeto projeto projeto relatorio equipe equipe cliente cliente documento,Trabalho,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0
155,reuniao reuniao cliente agenda documento acesso acesso conta,Trabalho,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1
156,promocao relatorio relatorio equipe prazo prazo conta,Trabalho,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
157,desconto reuniao cliente cliente,Trabalho,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
158,reuniao reuniao reuniao relatorio relatorio equipe equipe equipe conta,Trabalho,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
159,oferta projeto cliente cliente prazo prazo documento,Trabalho,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0
160,reuniao reuniao projeto projeto projeto cliente prazo agenda,Trabalho,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0
161,projeto projeto projeto cliente cliente prazo agenda agenda,Trabalho,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
162,promocao desconto urgente equipe prazo agenda documento conta,Trabalho,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1
163,desconto oferta projeto projeto relatorio cliente prazo agenda agenda documento,Trabalho,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0
164,relatorio equipe equipe prazo prazo agenda agenda,Trabalho,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
165,desconto projeto projeto relatorio relatorio equipe equipe cliente prazo documento documento,Trabalho,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0
166,promocao premio urgente reuniao relatorio equipe equipe equipe documento conta,Trabalho,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1
167,desconto projeto relatorio relatorio prazo prazo agenda documento,Trabalho,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0
168,premio reuniao projeto relatorio relatorio equipe equipe cliente prazo prazo agenda agenda documento documento acesso,Trabalho,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0
169,gratis reuniao cliente cliente agenda agenda,Trabalho,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
170,premio reuniao projeto relatorio prazo documento acesso conta conta,Trabalho,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1
171,reuniao reuniao reuniao equipe cliente cliente prazo,Trabalho,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
172,reuniao reuniao projeto relatorio cliente prazo prazo documento,Trabalho,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0
173,urgente urgente projeto projeto relatorio cliente documento conta,Trabalho,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1
174,reuniao projeto equipe prazo prazo agenda agenda,Trabalho,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0
175,oferta reuniao equipe cliente cliente cliente prazo prazo prazo acesso,Trabalho,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0
176,ganhe urgente relatorio cliente cliente conta,Trabalho,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1
177,premio reuniao projeto projeto projeto relatorio agenda agenda,Trabalho,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0
178,projeto projeto relatorio relatorio equipe prazo prazo,Trabalho,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
179,desconto gratis gratis equipe equipe cliente cliente cliente prazo prazo acesso acesso conta,Trabalho,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1
180,oferta projeto relatorio prazo agenda agenda acesso,Trabalho,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0
181,gratis ganhe urgente urgente reuniao relatorio relatorio relatorio cliente cliente prazo prazo prazo agenda documento,Trabalho,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0
182,oferta reuniao relatorio equipe cliente cliente prazo prazo acesso,Trabalho,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0
183,premio urgente reuniao reuniao reuniao relatorio equipe conta,Trabalho,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1
184,premio premio oferta oferta equipe prazo agenda acesso acesso,Trabalho,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0
185,premio premio oferta oferta reuniao reuniao projeto projeto projeto relatorio agenda,Trabalho,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0
186,relatorio equipe equipe prazo prazo agenda,Trabalho,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
187,promocao gratis relatorio relatorio relatorio agenda,Trabalho,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
188,desconto equipe cliente acesso,Trabalho,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
189,oferta oferta reuniao equipe prazo agenda,Trabalho,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0
190,desconto urgente reuniao relatorio relatorio documento,Trabalho,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
191,oferta relatorio relatorio cliente prazo acesso,Trabalho,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0
192,promocao premio oferta relatorio cliente,Trabalho,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
193,projeto relatorio relatorio cliente cliente prazo prazo,Trabalho,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
194,promocao premio projeto relatorio cliente acesso acesso,Trabalho,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0
195,reuniao projeto equipe,Trabalho,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
196,desconto urgente reuniao prazo,Trabalho,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
197,desconto desconto ganhe reuniao reuniao reuniao relatorio relatorio cliente cliente cliente prazo prazo agenda,Trabalho,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0
198,promocao ganhe ganhe reuniao relatorio relatorio agenda agenda conta,Trabalho,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
199,gratis reuniao projeto relatorio equipe prazo documento acesso,Trabalho,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0
200,oferta ganhe projeto projeto projeto equipe cliente prazo prazo agenda,Trabalho,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0
201,promocao gratis reuniao projeto relatorio relatorio relatorio prazo agenda documento documento,Trabalho,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0
202,gratis relatorio equipe equipe equipe cliente cliente prazo prazo,Trabalho,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
203,desconto projeto projeto relatorio equipe equipe equipe documento,Trabalho,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
204,oferta reuniao reuniao projeto cliente cliente,Trabalho,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
205,promocao ganhe projeto projeto equipe cliente cliente agenda acesso,Trabalho,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0
206,reuniao projeto relatorio prazo prazo agenda documento acesso,Trabalho,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0
